年,月,日,ビール消費支出
2007,2,22,26.97
2007,2,23,26.7
2007,2,24,47.28
2007,2,25,39.29
2007,2,26,30.78
2007,2,27,31.08
2007,2,28,33.47
2007,3,1,40.64
2007,3,2,40.13
2007,3,3,48.63
2007,3,4,43.1
2007,3,5,21.14
2007,3,6,21.4
2007,3,7,25.61
2007,3,8,23.59
2007,3,9,31.91
2007,3,10,48.92
2007,3,11,41.55
2007,3,12,25.18
2007,3,13,25.54
2007,3,14,23.61
2007,3,15,25.82
2007,3,16,29.8
2007,3,17,37.0
2007,3,18,48.37
2007,3,19,24.77
2007,3,20,30.31
2007,3,21,46.17
2007,3,22,32.06
2007,3,23,47.75
2007,3,24,53.46
2007,3,25,50.9
2007,3,26,26.27
2007,3,27,29.61
2007,3,28,30.17
2007,3,29,31.33
2007,3,30,35.2
2007,3,31,64.3
2007,4,1,75.75
2007,4,2,32.04
2007,4,3,27.52
2007,4,4,29.37
2007,4,5,34.66
2007,4,6,40.68
2007,4,7,44.0
2007,4,8,52.41
2007,4,9,21.63
2007,4,10,34.37
2007,4,11,28.33
2007,4,12,27.97
2007,4,13,30.76
2007,4,14,43.22
2007,4,15,53.44
2007,4,16,30.65
2007,4,17,26.94
2007,4,18,25.03
2007,4,19,39.9
2007,4,20,42.86
2007,4,21,59.63
2007,4,22,42.07
2007,4,23,35.08
2007,4,24,32.23
2007,4,25,37.18
2007,4,26,49.09
2007,4,27,65.53
2007,4,28,77.02
2007,4,29,74.53
2007,4,30,73.14
2007,5,1,43.23
2007,5,2,66.32
2007,5,3,67.32
2007,5,4,65.78
2007,5,5,60.98
2007,5,6,41.28
2007,5,7,28.85
2007,5,8,32.39
2007,5,9,33.39
2007,5,10,24.96
2007,5,11,35.61
2007,5,12,51.76
2007,5,13,58.71
2007,5,14,24.27
2007,5,15,25.68
2007,5,16,21.08
2007,5,17,31.52
2007,5,18,41.98
2007,5,19,58.05
2007,5,20,49.88
2007,5,21,25.13
2007,5,22,35.93
2007,5,23,34.03
2007,5,24,36.79
2007,5,25,48.32
2007,5,26,66.17
2007,5,27,81.41
2007,5,28,39.33
2007,5,29,19.85
2007,5,30,27.24
2007,5,31,32.08
2007,6,1,45.06
2007,6,2,71.73
2007,6,3,67.79
2007,6,4,36.52
2007,6,5,43.34
2007,6,6,44.12
2007,6,7,37.47
2007,6,8,46.12
2007,6,9,58.78
2007,6,10,35.68
2007,6,11,40.86
2007,6,12,40.09
2007,6,13,31.97
2007,6,14,50.21
2007,6,15,49.82
2007,6,16,90.45
2007,6,17,94.1
2007,6,18,33.44
2007,6,19,52.09
2007,6,20,35.55
2007,6,21,47.11
2007,6,22,54.06
2007,6,23,89.44
2007,6,24,52.51
2007,6,25,43.24
2007,6,26,48.11
2007,6,27,77.22
2007,6,28,56.66
2007,6,29,81.1
2007,6,30,93.62
2007,7,1,109.52
2007,7,2,43.13
2007,7,3,55.15
2007,7,4,49.19
2007,7,5,55.59
2007,7,6,38.74
2007,7,7,85.45
2007,7,8,92.51
2007,7,9,47.86
2007,7,10,53.38
2007,7,11,52.36
2007,7,12,48.86
2007,7,13,52.54
2007,7,14,70.69
2007,7,15,73.52
2007,7,16,72.2
2007,7,17,62.43
2007,7,18,57.64
2007,7,19,52.98
2007,7,20,63.09
2007,7,21,64.32
2007,7,22,83.56
2007,7,23,44.51
2007,7,24,44.48
2007,7,25,61.94
2007,7,26,69.4
2007,7,27,60.73
2007,7,28,122.9
2007,7,29,89.7
2007,7,30,58.81
2007,7,31,45.84
2007,8,1,90.25
2007,8,2,69.2
2007,8,3,61.3
2007,8,4,95.76
2007,8,5,109.03
2007,8,6,62.38
2007,8,7,63.31
2007,8,8,62.13
2007,8,9,75.32
2007,8,10,90.45
2007,8,11,146.07
2007,8,12,138.48
2007,8,13,139.93
2007,8,14,92.35
2007,8,15,78.64
2007,8,16,98.95
2007,8,17,51.85
2007,8,18,55.55
2007,8,19,51.68
2007,8,20,49.74
2007,8,21,32.54
2007,8,22,50.01
2007,8,23,42.54
2007,8,24,41.93
2007,8,25,95.71
2007,8,26,84.0
2007,8,27,39.46
2007,8,28,41.0
2007,8,29,49.69
2007,8,30,48.07
2007,8,31,48.12
2007,9,1,66
2007,9,2,74.51
2007,9,3,35.48
2007,9,4,27.8
2007,9,5,44.81
2007,9,6,29.52
2007,9,7,35.44
2007,9,8,57.12
2007,9,9,61.43
2007,9,10,36.31
2007,9,11,38.69
2007,9,12,34
2007,9,13,38.32
2007,9,14,36.85
2007,9,15,58.63
2007,9,16,70.47
2007,9,17,48.85
2007,9,18,35.93
2007,9,19,37.72
2007,9,20,45.73
2007,9,21,42.81
2007,9,22,69.89
2007,9,23,62.69
2007,9,24,57.12
2007,9,25,44.45
2007,9,26,36.11
2007,9,27,42.59
2007,9,28,43.31
2007,9,29,46.34
2007,9,30,58.54
2007,10,1,40.39
2007,10,2,36.13
2007,10,3,33.52
2007,10,4,32.1
2007,10,5,41.52
2007,10,6,55.51
2007,10,7,49.72
2007,10,8,51.74
2007,10,9,28.95
2007,10,10,23.28
2007,10,11,36.83
2007,10,12,26.85
2007,10,13,48.73
2007,10,14,46.22
2007,10,15,33.79
2007,10,16,39.46
2007,10,17,34.79
2007,10,18,31.88
2007,10,19,32.31
2007,10,20,47.9
2007,10,21,49.87
2007,10,22,29.19
2007,10,23,18.61
2007,10,24,21.72
2007,10,25,35.42
2007,10,26,37.73
2007,10,27,57.72
2007,10,28,55.53
2007,10,29,41.95
2007,10,30,25.99
2007,10,31,26.47
2007,11,1,44.61
2007,11,2,48.44
2007,11,3,46.07
2007,11,4,46.94
2007,11,5,29.39
2007,11,6,33.94
2007,11,7,31.28
2007,11,8,29.69
2007,11,9,32.83
2007,11,10,40.45
2007,11,11,51.73
2007,11,12,24.28
2007,11,13,32.49
2007,11,14,20.69
2007,11,15,28.57
2007,11,16,37.12
2007,11,17,46.96
2007,11,18,44.08
2007,11,19,27.32
2007,11,20,26.02
2007,11,21,28.36
2007,11,22,39.4
2007,11,23,61.23
2007,11,24,43.15
2007,11,25,61.49
2007,11,26,38.94
2007,11,27,34.65
2007,11,28,21.5
2007,11,29,53.4
2007,11,30,28.72
2007,12,1,72.67
2007,12,2,66.27
2007,12,3,39.2
2007,12,4,39.0
2007,12,5,36.84
2007,12,6,29.17
2007,12,7,45.76
2007,12,8,83.58
2007,12,9,82.45
2007,12,10,52.29
2007,12,11,34.27
2007,12,12,60.69
2007,12,13,34.47
2007,12,14,47.28
2007,12,15,56.79
2007,12,16,88.84
2007,12,17,43.59
2007,12,18,50.49
2007,12,19,40.47
2007,12,20,51.18
2007,12,21,60.52
2007,12,22,80.35
2007,12,23,88.39
2007,12,24,77.79
2007,12,25,67.71
2007,12,26,64.52
2007,12,27,66.05
2007,12,28,80.81
2007,12,29,110.65
2007,12,30,167.98
2007,12,31,159.58
2008,1,1,39.9
2008,1,2,67.59
2008,1,3,48.84
2008,1,4,31.6
2008,1,5,30.63
2008,1,6,29.99
2008,1,7,19.35
2008,1,8,28.25
2008,1,9,16.73
2008,1,10,18.31
2008,1,11,20.5
2008,1,12,30.39
2008,1,13,33.34
2008,1,14,30.73
2008,1,15,19.26
2008,1,16,19.64
2008,1,17,17.48
2008,1,18,24.8
2008,1,19,29.34
2008,1,20,30.93
2008,1,21,24.2
2008,1,22,21.88
2008,1,23,29.59
2008,1,24,20.33
2008,1,25,36.19
2008,1,26,61.76
2008,1,27,63.05
2008,1,28,17.84
2008,1,29,25.84
2008,1,30,22.22
2008,1,31,31.07
2008,2,1,35.38
2008,2,2,43.33
2008,2,3,33.26
2008,2,4,20.4
2008,2,5,35.71
2008,2,6,27.04
2008,2,7,20.5
2008,2,8,38.69
2008,2,9,23.55
2008,2,10,40.45
2008,2,11,33.53
2008,2,12,17.14
2008,2,13,28.91
2008,2,14,17.34
2008,2,15,35.02
2008,2,16,44.8
2008,2,17,49.65
2008,2,18,25.53
2008,2,19,27.68
2008,2,20,16.48
2008,2,21,33.74
2008,2,22,42.09
2008,2,23,34.76
2008,2,24,39.2
2008,2,25,21.45
2008,2,26,25.01
2008,2,27,35.21
2008,2,28,38.43
2008,2,29,49.37
2008,3,1,49.67
2008,3,2,50.16
2008,3,3,38.32
2008,3,4,32.74
2008,3,5,28.17
2008,3,6,35.79
2008,3,7,25.38
2008,3,8,32.29
2008,3,9,38.85
2008,3,10,37.39
2008,3,11,24.39
2008,3,12,21.34
2008,3,13,20.52
2008,3,14,40.47
2008,3,15,47.04
2008,3,16,57.27
2008,3,17,26.11
2008,3,18,29.22
2008,3,19,22.91
2008,3,20,53.27
2008,3,21,30.6
2008,3,22,43.01
2008,3,23,35.53
2008,3,24,22.63
2008,3,25,43.09
2008,3,26,30.0
2008,3,27,31.06
2008,3,28,42.13
2008,3,29,60.37
2008,3,30,44.24
2008,3,31,60.69
2008,4,1,31.61
2008,4,2,34.08
2008,4,3,36.85
2008,4,4,28.75
2008,4,5,56.41
2008,4,6,52.37
2008,4,7,20.62
2008,4,8,26.14
2008,4,9,27.54
2008,4,10,24.55
2008,4,11,31.53
2008,4,12,41.92
2008,4,13,36.47
2008,4,14,26.12
2008,4,15,34.9
2008,4,16,41.31
2008,4,17,31.18
2008,4,18,40.29
2008,4,19,45.86
2008,4,20,51.78
2008,4,21,27.36
2008,4,22,30.7
2008,4,23,20.9
2008,4,24,28.85
2008,4,25,55.68
2008,4,26,68.13
2008,4,27,58.99
2008,4,28,46.26
2008,4,29,56.99
2008,4,30,58.46
2008,5,1,77.75
2008,5,2,46.72
2008,5,3,73.47
2008,5,4,63.54
2008,5,5,53.09
2008,5,6,44.92
2008,5,7,28.18
2008,5,8,33.64
2008,5,9,34.78
2008,5,10,36.0
2008,5,11,53.93
2008,5,12,31.19
2008,5,13,37.97
2008,5,14,32.87
2008,5,15,35.92
2008,5,16,29.67
2008,5,17,49.57
2008,5,18,51.76
2008,5,19,39.2
2008,5,20,33.99
2008,5,21,38.5
2008,5,22,44.03
2008,5,23,42.56
2008,5,24,64.19
2008,5,25,62.67
2008,5,26,26.13
2008,5,27,34.26
2008,5,28,41.58
2008,5,29,41.53
2008,5,30,38.61
2008,5,31,70.61
2008,6,1,60.94
2008,6,2,31.62
2008,6,3,30.77
2008,6,4,32.78
2008,6,5,35.49
2008,6,6,34.74
2008,6,7,57.32
2008,6,8,62.84
2008,6,9,33.58
2008,6,10,38.1
2008,6,11,34.98
2008,6,12,45.21
2008,6,13,40.59
2008,6,14,76.04
2008,6,15,77.11
2008,6,16,61.69
2008,6,17,39.18
2008,6,18,40.59
2008,6,19,37.11
2008,6,20,41.71
2008,6,21,67.08
2008,6,22,54.39
2008,6,23,29.57
2008,6,24,43.42
2008,6,25,42.8
2008,6,26,43.98
2008,6,27,67.55
2008,6,28,65.5
2008,6,29,69.25
2008,6,30,57.37
2008,7,1,67.38
2008,7,2,72.87
2008,7,3,42.1
2008,7,4,50.7
2008,7,5,85.8
2008,7,6,82.16
2008,7,7,61.47
2008,7,8,84.08
2008,7,9,39.62
2008,7,10,54.43
2008,7,11,51.6
2008,7,12,96.14
2008,7,13,103.1
2008,7,14,44.6
2008,7,15,76.78
2008,7,16,75.44
2008,7,17,62.71
2008,7,18,50.97
2008,7,19,108.61
2008,7,20,75.55
2008,7,21,68.83
2008,7,22,55.79
2008,7,23,60.07
2008,7,24,59.87
2008,7,25,65.39
2008,7,26,97.51
2008,7,27,74.18
2008,7,28,64.27
2008,7,29,68.26
2008,7,30,54.97
2008,7,31,65.38
2008,8,1,70.35
2008,8,2,83.94
2008,8,3,72.36
2008,8,4,55.91
2008,8,5,47.7
2008,8,6,56.83
2008,8,7,56.44
2008,8,8,74.48
2008,8,9,95.01
2008,8,10,109.74
2008,8,11,94.55
2008,8,12,120.0
2008,8,13,113.18
2008,8,14,78.8
2008,8,15,79.92
2008,8,16,74.15
2008,8,17,48.0
2008,8,18,30.77
2008,8,19,47.08
2008,8,20,45.94
2008,8,21,32.34
2008,8,22,35.57
2008,8,23,51.51
2008,8,24,54.8
2008,8,25,38.35
2008,8,26,50.31
2008,8,27,37.12
2008,8,28,27.1
2008,8,29,36.01
2008,8,30,73.69
2008,8,31,57.39
2008,9,1,37.05
2008,9,2,29.45
2008,9,3,34.53
2008,9,4,23.13
2008,9,5,45.84
2008,9,6,57.1
2008,9,7,59.09
2008,9,8,31.03
2008,9,9,31.35
2008,9,10,35.86
2008,9,11,33.39
2008,9,12,42.25
2008,9,13,50.28
2008,9,14,66.85
2008,9,15,46.39
2008,9,16,31.07
2008,9,17,26.94
2008,9,18,31.54
2008,9,19,30.51
2008,9,20,57.57
2008,9,21,48.56
2008,9,22,33.47
2008,9,23,51.21
2008,9,24,24.75
2008,9,25,28.84
2008,9,26,39.65
2008,9,27,64.09
2008,9,28,40.34
2008,9,29,24.01
2008,9,30,23.8
2008,10,1,31.11
2008,10,2,30.26
2008,10,3,35.71
2008,10,4,55.33
2008,10,5,55.81
2008,10,6,29.67
2008,10,7,28.99
2008,10,8,28.64
2008,10,9,25.56
2008,10,10,44.0
2008,10,11,62.83
2008,10,12,47.28
2008,10,13,44.1
2008,10,14,26.55
2008,10,15,30.1
2008,10,16,30.9
2008,10,17,36.73
2008,10,18,43.32
2008,10,19,48.98
2008,10,20,29.1
2008,10,21,27.83
2008,10,22,36.16
2008,10,23,28.45
2008,10,24,37.12
2008,10,25,69.67
2008,10,26,60.99
2008,10,27,33.72
2008,10,28,32.25
2008,10,29,28.96
2008,10,30,29.31
2008,10,31,36.02
2008,11,1,52.43
2008,11,2,48.64
2008,11,3,31.01
2008,11,4,28.67
2008,11,5,32.5
2008,11,6,28.17
2008,11,7,33.78
2008,11,8,40.95
2008,11,9,36.35
2008,11,10,30.2
2008,11,11,27.24
2008,11,12,31.64
2008,11,13,22.81
2008,11,14,19.89
2008,11,15,59.73
2008,11,16,54.97
2008,11,17,20.04
2008,11,18,23.11
2008,11,19,24.05
2008,11,20,39.23
2008,11,21,50.64
2008,11,22,43.17
2008,11,23,57.13
2008,11,24,46.49
2008,11,25,29.7
2008,11,26,50.72
2008,11,27,25.86
2008,11,28,31.62
2008,11,29,62.85
2008,11,30,66.6
2008,12,1,51.69
2008,12,2,52.97
2008,12,3,49.24
2008,12,4,41.56
2008,12,5,64.86
2008,12,6,56.93
2008,12,7,61.16
2008,12,8,32.24
2008,12,9,40.96
2008,12,10,53.31
2008,12,11,40.7
2008,12,12,41.56
2008,12,13,81.85
2008,12,14,69.63
2008,12,15,59.72
2008,12,16,51.76
2008,12,17,53.27
2008,12,18,42.63
2008,12,19,42.89
2008,12,20,96.46
2008,12,21,93.81
2008,12,22,45.81
2008,12,23,62.28
2008,12,24,66.59
2008,12,25,53.33
2008,12,26,61.86
2008,12,27,84.48
2008,12,28,101.67
2008,12,29,99.11
2008,12,30,129.65
2008,12,31,127.04
2009,1,1,40.81
2009,1,2,59.27
2009,1,3,41.48
2009,1,4,24.24
2009,1,5,17.91
2009,1,6,20.59
2009,1,7,21.97
2009,1,8,21.09
2009,1,9,21.31
2009,1,10,39.92
2009,1,11,39.8
2009,1,12,24.11
2009,1,13,22.18
2009,1,14,19.33
2009,1,15,32.59
2009,1,16,17.83
2009,1,17,35.98
2009,1,18,27.93
2009,1,19,13.09
2009,1,20,32.06
2009,1,21,25.07
2009,1,22,39.93
2009,1,23,33.47
2009,1,24,44.93
2009,1,25,35.42
2009,1,26,31.03
2009,1,27,26.26
2009,1,28,18.66
2009,1,29,29.06
2009,1,30,20.79
2009,1,31,46.36
2009,2,1,49.07
2009,2,2,20.43
2009,2,3,17.93
2009,2,4,16.24
2009,2,5,26.48
2009,2,6,27.65
2009,2,7,26.73
2009,2,8,35.22
2009,2,9,25.53
2009,2,10,26.11
2009,2,11,32.93
2009,2,12,32.27
2009,2,13,37.18
2009,2,14,39.93
2009,2,15,36.66
2009,2,16,20.42
2009,2,17,20.71
2009,2,18,22.59
2009,2,19,37.9
2009,2,20,21.1
2009,2,21,44.8
2009,2,22,40.9
2009,2,23,21.75
2009,2,24,17.21
2009,2,25,21.44
2009,2,26,18.39
2009,2,27,28.64
2009,2,28,55.46
2009,3,1,50.57
2009,3,2,31.04
2009,3,3,19.68
2009,3,4,19.68
2009,3,5,27.82
2009,3,6,28.75
2009,3,7,53.5
2009,3,8,46.03
2009,3,9,24.95
2009,3,10,16.94
2009,3,11,33.52
2009,3,12,17.43
2009,3,13,27.02
2009,3,14,48.89
2009,3,15,48.48
2009,3,16,34.94
2009,3,17,30.55
2009,3,18,31.77
2009,3,19,48.07
2009,3,20,51.84
2009,3,21,36.06
2009,3,22,39.82
2009,3,23,30.97
2009,3,24,28.1
2009,3,25,26.45
2009,3,26,25.3
2009,3,27,34.09
2009,3,28,41.71
2009,3,29,37.07
2009,3,30,29.02
2009,3,31,25.31
2009,4,1,21.05
2009,4,2,37.09
2009,4,3,31.07
2009,4,4,38.41
2009,4,5,45.98
2009,4,6,18.7
2009,4,7,27.09
2009,4,8,30.35
2009,4,9,20.94
2009,4,10,35.62
2009,4,11,56.45
2009,4,12,50.26
2009,4,13,23.39
2009,4,14,16.08
2009,4,15,32.32
2009,4,16,32.07
2009,4,17,26.54
2009,4,18,61.55
2009,4,19,45.37
2009,4,20,25.44
2009,4,21,21.76
2009,4,22,38.92
2009,4,23,31.84
2009,4,24,28.89
2009,4,25,50.13
2009,4,26,55.25
2009,4,27,37.01
2009,4,28,53.19
2009,4,29,41.7
2009,4,30,34.16
2009,5,1,52.47
2009,5,2,61.17
2009,5,3,74.4
2009,5,4,52.76
2009,5,5,49.93
2009,5,6,49.28
2009,5,7,25.77
2009,5,8,20.06
2009,5,9,43.46
2009,5,10,37.59
2009,5,11,13.86
2009,5,12,26.37
2009,5,13,28.34
2009,5,14,31.09
2009,5,15,27.6
2009,5,16,48.54
2009,5,17,40.32
2009,5,18,28.43
2009,5,19,25.62
2009,5,20,32.06
2009,5,21,22.99
2009,5,22,32.06
2009,5,23,48.02
2009,5,24,53.06
2009,5,25,33.13
2009,5,26,41.55
2009,5,27,27.48
2009,5,28,32.51
2009,5,29,36.02
2009,5,30,58.6
2009,5,31,52.53
2009,6,1,36.25
2009,6,2,31.55
2009,6,3,43.6
2009,6,4,31.28
2009,6,5,32.48
2009,6,6,50.96
2009,6,7,49.3
2009,6,8,32.97
2009,6,9,31.76
2009,6,10,27.4
2009,6,11,27.19
2009,6,12,37.69
2009,6,13,44.2
2009,6,14,48.24
2009,6,15,33.52
2009,6,16,32.16
2009,6,17,41.75
2009,6,18,36.96
2009,6,19,46.26
2009,6,20,79.49
2009,6,21,56.92
2009,6,22,23.61
2009,6,23,46.62
